2015-08-03T02:00:00, WESTCHESTER,25, MANHATTAN,15, BRONX,30, BROOKLYN,45
2015-09-02T02:00:00, NEW JERSEY,22.5806451612903, QUEENS,21.6540697674419, WESTCHESTER,22.4330855018587, BROOKLYN,25.9265274555298, ALL BOROUGHS,31.7857142857143, MANHATTAN,21.514329580348, BRONX,18.5535177390259, NASSAU COUNTY,25.4354838709677, STATEN ISLAND,17.1565533980583, ROCKLAND COUNTY,30.2205882352941
2015-10-02T02:00:00, QUEENS,21.6292490118577, WESTCHESTER,21.9417098445596, BRONX,17.1674134419552, MANHATTAN,24.0623671155209, STATEN ISLAND,14.9397260273973, NASSAU COUNTY,25.3846153846154, BROOKLYN,24.2439213657527, ALL BOROUGHS,30.1515151515152, NEW JERSEY,15.6666666666667, CONNECTICUT,30, ROCKLAND COUNTY,23.6607142857143
2015-11-01T01:00:00, ROCKLAND COUNTY,22.05, QUEENS,20.3779931584949, WESTCHESTER,17.5805555555556, MANHATTAN,21.7132749326146, BRONX,16.8652146464646, STATEN ISLAND,17.2767441860465, NASSAU COUNTY,26.5, BROOKLYN,23.6946538725154, ALL BOROUGHS,29.75, NEW JERSEY,13.8157894736842, CONNECTICUT,37.5
2015-12-01T01:00:00, QUEENS,19.718125, WESTCHESTER,24.8722627737226, MANHATTAN,22.2924528301887, BRONX,17.3541666666667, BROOKLYN,23.7254012561061, ALL BOROUGHS,31, NEW JERSEY,15.4878048780488, CONNECTICUT,20, NASSAU COUNTY,23.7162162162162, STATEN ISLAND,16.1697674418605, ROCKLAND COUNTY,21.6785714285714
2015-12-31T01:00:00, BROOKLYN,28.0643037974684, ALL BOROUGHS,28.9473684210526, QUEENS,24.7999327505044, WESTCHESTER,27.5847457627119, BRONX,21.823358642251, MANHATTAN,24.2992957746479, NEW JERSEY,15.9210526315789, CONNECTICUT,23, STATEN ISLAND,22.6020408163265, NASSAU COUNTY,34.5268817204301, ROCKLAND COUNTY,31.6304347826087
2016-01-30T01:00:00, QUEENS,22.2484848484848, WESTCHESTER,19.251497005988, BRONX,17.2441569282137, MANHATTAN,21.4332171893147, BROOKLYN,47.5012214983713, ALL BOROUGHS,26.5384615384615, NEW JERSEY,20.8333333333333, CONNECTICUT,23, STATEN ISLAND,15.7015503875969, NASSAU COUNTY,21.3095238095238, ROCKLAND COUNTY,29.2857142857143
2016-02-29T01:00:00, ROCKLAND COUNTY,29.3518518518519, BRONX,18.0498021108179, MANHATTAN,21.7784431137725, BROOKLYN,25.2710109622412, ALL BOROUGHS,28.3333333333333, NEW JERSEY,23.1914893617021, CONNECTICUT,16, STATEN ISLAND,14.4470338983051, NASSAU COUNTY,24.5426829268293, QUEENS,21.3699654775604, WESTCHESTER,17.9950495049505
2016-03-30T02:00:00, QUEENS,21.9412484700122, WESTCHESTER,18.0731132075472, BRONX,16.7456896551724, MANHATTAN,23.2133663366337, NEW JERSEY,36.2083333333333, CONNECTICUT,30, BROOKLYN,25.6175243393602, ALL BOROUGHS,24.3333333333333, NASSAU COUNTY,21.8115942028985, STATEN ISLAND,16.7138554216867, ROCKLAND COUNTY,25.6521739130435
2016-04-29T02:00:00, BRONX,19.0259699624531, MANHATTAN,22.320558739255, BROOKLYN,26.6733374384236, ALL BOROUGHS,30.3703703703704, STATEN ISLAND,17.978813559322, NASSAU COUNTY,25.6565656565657, NEW JERSEY,18.2926829268293, CONNECTICUT,10, ROCKLAND COUNTY,22.1710526315789, WESTCHESTER,20.2296137339056, QUEENS,20.2821256038647
2016-05-29T02:00:00, MANHATTAN,22.1639447236181, BRONX,17.3059964726631, BROOKLYN,24.8404882154882, ALL BOROUGHS,9.09090909090909, NASSAU COUNTY,20.625, STATEN ISLAND,15.0916666666667, NEW JERSEY,15.5882352941176, CONNECTICUT,15, ROCKLAND COUNTY,21.3333333333333, QUEENS,19.8143564356436, WESTCHESTER,17.9605263157895
2016-06-28T02:00:00, STATEN ISLAND,28.1640625, NASSAU COUNTY,23, BRONX,17.282962962963, MANHATTAN,23.6203576341128, BROOKLYN,22.7908560311284, ALL BOROUGHS,14.375, NEW JERSEY,45, ROCKLAND COUNTY,24.1071428571429, QUEENS,17.8427419354839, WESTCHESTER,20.4230769230769
2016-07-28T02:00:00, MANHATTAN,23.3201357466063, BRONX,17.0067024128686, STATEN ISLAND,24.4512195121951, NASSAU COUNTY,13.1756756756757, BROOKLYN,24.6587030716724, ALL BOROUGHS,36.25, ROCKLAND COUNTY,19.1666666666667, QUEENS,20.9294871794872, WESTCHESTER,18.9603174603175
2016-08-27T02:00:00, BRONX,19.5311296534018, MANHATTAN,28.8134110787172, NASSAU COUNTY,23.2981651376147, STATEN ISLAND,15.625, CONNECTICUT,16.6666666666667, NEW JERSEY,23.5714285714286, BROOKLYN,27.6872037914692, ALL BOROUGHS,43.75, ROCKLAND COUNTY,21.9871794871795, WESTCHESTER,23.7204081632653, QUEENS,20.0152224824356
2016-09-26T02:00:00, BRONX,18.5093800978793, MANHATTAN,27.7947238252267, NEW JERSEY,19.7727272727273, CONNECTICUT,14.2857142857143, BROOKLYN,27.6150568181818, ALL BOROUGHS,36.5, NASSAU COUNTY,28.9251968503937, STATEN ISLAND,15.4100642398287, ROCKLAND COUNTY,29.2916666666667, QUEENS,20.7271863117871, WESTCHESTER,25.780487804878
2016-10-26T02:00:00, QUEENS,22.1516431924883, WESTCHESTER,42.2222222222222, STATEN ISLAND,16.9715909090909, NASSAU COUNTY,23.0494505494506, BRONX,17.9632454923717, MANHATTAN,25.7052797478329, NEW JERSEY,25.9375, CONNECTICUT,17.0833333333333, BROOKLYN,28.418863503222, ALL BOROUGHS,34.5454545454545, ROCKLAND COUNTY,30.1851851851852
2016-11-25T01:00:00, BRONX,18.7863372093023, MANHATTAN,25.9358974358974, QUEENS,22.673434856176, WESTCHESTER,42.1818181818182, STATEN ISLAND,17.0936639118457, NASSAU COUNTY,25.4204545454545, BROOKLYN,24.2403889642696, ALL BOROUGHS,34, NEW JERSEY,25.1020408163265, CONNECTICUT,20, ROCKLAND COUNTY,44.0476190476191
2016-12-25T01:00:00, QUEENS,22.7061728395062, WESTCHESTER,45.0632911392405, BRONX,19.9364795918367, MANHATTAN,24.5781399808245, BROOKLYN,27.1437414030261, ALL BOROUGHS,40.8333333333333, STATEN ISLAND,20.3755656108597, NASSAU COUNTY,27.21875, NEW JERSEY,25.2631578947368, ROCKLAND COUNTY,29
2017-01-24T01:00:00, BROOKLYN,24.6361878453039, ALL BOROUGHS,30, QUEENS,23.1658084449022, WESTCHESTER,44.8588235294118, BRONX,21.5727923627685, MANHATTAN,25.7282072368421, STATEN ISLAND,21.7509293680297, NASSAU COUNTY,26.8061224489796, NEW JERSEY,23.2203389830508, CONNECTICUT,21.9117647058823, ROCKLAND COUNTY,37.3529411764706
2017-02-23T01:00:00, QUEENS,24.6653185035389, WESTCHESTER,45.375, BROOKLYN,26.7241176470588, ALL BOROUGHS,33.5714285714286, STATEN ISLAND,21.8714689265537, NASSAU COUNTY,46.9354838709677, MANHATTAN,26.3665338645418, BRONX,21.2507965407374, NEW JERSEY,25.6818181818182, CONNECTICUT,16.6666666666667, ROCKLAND COUNTY,37.5
2017-03-25T01:00:00, STATEN ISLAND,22.3660714285714, NASSAU COUNTY,33.7650602409639, MANHATTAN,26.1311053984576, BRONX,20.6315028901734, QUEENS,25.3645833333333, WESTCHESTER,40.6846590909091, BROOKLYN,27.7562651576395, ALL BOROUGHS,20, NEW JERSEY,25.2380952380952, CONNECTICUT,13.75, ROCKLAND COUNTY,27.8571428571429
2017-04-24T02:00:00, QUEENS,23.4972889233153, WESTCHESTER,44.0748031496063, STATEN ISLAND,23.2921847246892, NASSAU COUNTY,27.8712871287129, MANHATTAN,24.0839899713467, BRONX,18.0491395793499, BROOKLYN,30.2307692307692, ALL BOROUGHS,21.875, CONNECTICUT,21.5625, NEW JERSEY,21.5492957746479, ROCKLAND COUNTY,31.3513513513513
2017-05-24T02:00:00, QUEENS,22.751345532831, WESTCHESTER,45.748031496063, MANHATTAN,26.3695067264574, BRONX,19.2857142857143, BROOKLYN,27.737007424329, ALL BOROUGHS,24.0909090909091, STATEN ISLAND,23.2848232848233, NASSAU COUNTY,30.9429824561403, NEW JERSEY,23.2407407407407, CONNECTICUT,17, ROCKLAND COUNTY,33.1818181818182
2017-06-23T02:00:00, WESTCHESTER,29.0425531914894, QUEENS,19.4794520547945, BRONX,24.3628447024673, MANHATTAN,25.8978873239437, ALL BOROUGHS,12.5, BROOKLYN,24.8089353612167, NASSAU COUNTY,21.0365853658537, STATEN ISLAND,25.3932584269663, CONNECTICUT,45, NEW JERSEY,41.25, ROCKLAND COUNTY,161
2017-07-23T02:00:00, QUEENS,16.5212264150943, WESTCHESTER,25.1315789473684, BRONX,23.7556497175141, MANHATTAN,30.213141025641, NASSAU COUNTY,20.8333333333333, STATEN ISLAND,25.7469135802469, BROOKLYN,22.1515679442509, NEW JERSEY,35, ROCKLAND COUNTY,15
2017-08-22T02:00:00, MANHATTAN,35.7352320675106, BRONX,19.2267303102625, NASSAU COUNTY,19.3488372093023, STATEN ISLAND,30.594861660079, ALL BOROUGHS,41, BROOKLYN,27.5871459694989, CONNECTICUT,19.9, NEW JERSEY,43.6020408163265, ROCKLAND COUNTY,31.4285714285714, QUEENS,24.3038528896672, WESTCHESTER,32.8083333333333
2017-09-21T02:00:00, BRONX,17.5562653562654, MANHATTAN,34.7050907911803, NASSAU COUNTY,27.6025641025641, STATEN ISLAND,27.149416909621, BROOKLYN,25.0823817292007, ALL BOROUGHS,31.25, NEW JERSEY,48.9015151515152, CONNECTICUT,23, ROCKLAND COUNTY,32, WESTCHESTER,32.9641025641026, QUEENS,23.4623955431755
2017-10-21T02:00:00, MANHATTAN,33.2074868322047, BRONX,18.4619952494062, STATEN ISLAND,24.6083333333333, NASSAU COUNTY,27.7675438596491, BROOKLYN,23.9190767519466, ALL BOROUGHS,33.75, CONNECTICUT,29, NEW JERSEY,41.6274509803922, ROCKLAND COUNTY,23.0961538461538, QUEENS,23.3932874354561, WESTCHESTER,31.5779220779221
2017-11-20T01:00:00, MANHATTAN,33.5367704280156, BRONX,19.5261424454508, STATEN ISLAND,23.7295081967213, NASSAU COUNTY,28.03125, BROOKLYN,23.7891304347826, ALL BOROUGHS,20, ROCKLAND COUNTY,33.3846153846154, NEW JERSEY,39.4326923076923, CONNECTICUT,35.3913043478261, WESTCHESTER,36.401724137931, QUEENS,22.4645138396026
2017-12-20T01:00:00, BROOKLYN,32.0067453625632, ALL BOROUGHS,38, NASSAU COUNTY,29.7319587628866, STATEN ISLAND,24.9229249011858, BRONX,22.3443786982248, MANHATTAN,33.8849323131254, ROCKLAND COUNTY,38.25, CONNECTICUT,31.5714285714286, NEW JERSEY,34.38, WESTCHESTER,32.2362204724409, QUEENS,23.6766575840145
2018-01-19T01:00:00, BROOKLYN,28.2521276595745, ALL BOROUGHS,56.75, STATEN ISLAND,24.6161616161616, NASSAU COUNTY,29.8595041322314, BRONX,20.4834196891192, MANHATTAN,30.5636545182227, ROCKLAND COUNTY,38, NEW JERSEY,39.8, CONNECTICUT,15.3333333333333, QUEENS,23.6009501187648, WESTCHESTER,28.3958333333333
2018-02-18T01:00:00, BROOKLYN,28.0485057471264, MANHATTAN,32.4150524616626, BRONX,24.4930971007823, STATEN ISLAND,25.2516600265604, NASSAU COUNTY,33.0051813471503, ROCKLAND COUNTY,38.1486486486486, NEW JERSEY,46.2142857142857, QUEENS,23.6170909090909, WESTCHESTER,30.293893129771
2018-03-20T01:00:00, BROOKLYN,30.9923500611995, ALL BOROUGHS,38, MANHATTAN,33.1452282157676, BRONX,24.089791555318, STATEN ISLAND,24.5129032258064, NASSAU COUNTY,30.1231884057971, ROCKLAND COUNTY,32.2931034482759, NEW JERSEY,41.6603773584906, QUEENS,26.9703264094955, WESTCHESTER,37.0448275862069
2018-04-19T02:00:00, BROOKLYN,32.5006605019815, BRONX,24.3717813051146, MANHATTAN,34.20361276745, NASSAU COUNTY,31.2731707317073, STATEN ISLAND,23.2059973924381, ROCKLAND COUNTY,33.1083333333333, CONNECTICUT,40.0714285714286, NEW JERSEY,38.4029850746269, QUEENS,29.7226640159046, WESTCHESTER,32.1711111111111
2018-05-19T02:00:00, QUEENS,28.7568702290076, WESTCHESTER,33.2091503267974, BROOKLYN,31.7841435185185, ALL BOROUGHS,0, MANHATTAN,31.8587984862819, BRONX,31.5808054393305, STATEN ISLAND,23.3, NASSAU COUNTY,28.7344827586207, ROCKLAND COUNTY,33.9487179487179, NEW JERSEY,49.2375, CONNECTICUT,53
2018-06-18T02:00:00, WESTCHESTER,48.5, QUEENS,28.5864661654135, BROOKLYN,31.4398907103825, MANHATTAN,32.8636363636364, BRONX,27.6410788381743, STATEN ISLAND,23.8108108108108, NASSAU COUNTY,36.125, ROCKLAND COUNTY,38, NEW JERSEY,41
2018-08-17T02:00:00, WESTCHESTER,32.669014084507, QUEENS,25.676184690158, BROOKLYN,31.3306613226453, ALL BOROUGHS,24.5, BRONX,26.4962845010616, MANHATTAN,35.648178807947, STATEN ISLAND,25.9558823529412, NASSAU COUNTY,25.4523809523809, ROCKLAND COUNTY,29.5, NEW JERSEY,34.975, CONNECTICUT,23
2018-09-16T02:00:00, QUEENS,26.5102432778489, WESTCHESTER,30.4826589595376, BROOKLYN,33.7112280701754, ALL BOROUGHS,14.5454545454545, BRONX,27.1068155784651, MANHATTAN,39.2859174964438, STATEN ISLAND,31.0815217391304, NASSAU COUNTY,33.3009708737864, ROCKLAND COUNTY,27.1911764705882, NEW JERSEY,35.1481481481481, CONNECTICUT,11.375
2018-10-16T02:00:00, QUEENS,28.9075899457861, WESTCHESTER,30.5258620689655, BROOKLYN,32.8294552422666, ALL BOROUGHS,7.52941176470588, BRONX,29.9725274725275, MANHATTAN,38.9109064112012, STATEN ISLAND,26.1580310880829, NASSAU COUNTY,32.9698630136986, ROCKLAND COUNTY,33.2037037037037, NEW JERSEY,34.6833333333333, CONNECTICUT,27.547619047619
2018-11-15T01:00:00, QUEENS,29.4836838288615, WESTCHESTER,30.8423423423423, BROOKLYN,33.4885245901639, ALL BOROUGHS,6.75, MANHATTAN,40.0311009969658, BRONX,33.7684346701164, STATEN ISLAND,26.1304347826087, NASSAU COUNTY,39.0400696864112, NEW JERSEY,41.9411764705882, CONNECTICUT,50, ROCKLAND COUNTY,19
2018-12-15T01:00:00, WESTCHESTER,39.4571428571429, QUEENS,27.645, BROOKLYN,33.0708180708181, ALL BOROUGHS,7.5, MANHATTAN,41.5011363636364, BRONX,37.372, STATEN ISLAND,29.1153846153846, NASSAU COUNTY,38.6222222222222, NEW JERSEY,38, CONNECTICUT,23, ROCKLAND COUNTY,13.375
2019-01-14T01:00:00, QUEENS,28.7933956750438, WESTCHESTER,33.7293577981651, BROOKLYN,31.5462568472307, ALL BOROUGHS,8.17391304347826, BRONX,36.4169460923394, MANHATTAN,39.9998552821997, STATEN ISLAND,27.90625, NASSAU COUNTY,33.0218120805369, NEW JERSEY,40.6125, CONNECTICUT,12.6666666666667, ROCKLAND COUNTY,34.5833333333333
2019-02-13T01:00:00, QUEENS,30.2406559877956, WESTCHESTER,34.1231884057971, BROOKLYN,31.1479120879121, ALL BOROUGHS,5.625, MANHATTAN,39.7628643852978, BRONX,37.3806273062731, NASSAU COUNTY,34.77, STATEN ISLAND,27.9452054794521, NEW JERSEY,33, CONNECTICUT,28, ROCKLAND COUNTY,35.7
2019-03-15T01:00:00, BROOKLYN,32.2178464606181, ALL BOROUGHS,10.6875, BRONX,34.4747940691928, MANHATTAN,38.2029558091893, NASSAU COUNTY,28.2634146341463, STATEN ISLAND,25.6688311688312, NEW JERSEY,37.4545454545455, CONNECTICUT,19.8, ROCKLAND COUNTY,44.25, QUEENS,31.5576208178439, WESTCHESTER,31.1068376068376
2019-04-14T02:00:00, BROOKLYN,30.0625, MANHATTAN,17.7083333333333, BRONX,34.9275362318841, NASSAU COUNTY,38, STATEN ISLAND,23, WESTCHESTER,15.25, QUEENS,22.7666666666667
2019-05-14T02:00:00, BROOKLYN,30.7545187053384, ALL BOROUGHS,7.53333333333333, BRONX,34.6556989247312, MANHATTAN,33.7851822814583, STATEN ISLAND,30.5212014134276, NASSAU COUNTY,30.1417525773196, NEW JERSEY,30.109375, CONNECTICUT,38, ROCKLAND COUNTY,31.8125, WESTCHESTER,28.0299145299145, QUEENS,25.823335771763
2019-06-13T02:00:00, BROOKLYN,30.6491557223265, ALL BOROUGHS,7.5, BRONX,40.5047701647875, MANHATTAN,34.66796875, NASSAU COUNTY,31.03125, STATEN ISLAND,32.5173611111111, NEW JERSEY,38, CONNECTICUT,38, ROCKLAND COUNTY,26.1666666666667, QUEENS,23.7695099818512, WESTCHESTER,33.2040816326531
2019-08-12T02:00:00, ALL BOROUGHS,10.9166666666667, BROOKLYN,32.3879928315412, MANHATTAN,38.381884057971, BRONX,28.8876980428705, STATEN ISLAND,31.4048582995951, NASSAU COUNTY,32.8171140939597, NEW JERSEY,31.1212121212121, ROCKLAND COUNTY,25, QUEENS,32.9972557628979, WESTCHESTER,24.875
2019-09-11T02:00:00, QUEENS,31.6939330543933, WESTCHESTER,31.8888888888889, ALL BOROUGHS,10.2924528301887, BROOKLYN,30.1153039832285, MANHATTAN,40.1908768821966, BRONX,26.2085714285714, STATEN ISLAND,28.0256916996047, NASSAU COUNTY,33.0234791889007, ROCKLAND COUNTY,15.65625, NEW JERSEY,31.3766233766234, CONNECTICUT,35
2019-10-11T02:00:00, QUEENS,29.201073492981, WESTCHESTER,37.3348214285714, BROOKLYN,28.3772264631043, ALL BOROUGHS,19.6621621621622, BRONX,26.3230681494155, MANHATTAN,40.320184866724, NASSAU COUNTY,34.158345752608, STATEN ISLAND,28.1280276816609, ROCKLAND COUNTY,20.7727272727273, NEW JERSEY,28.125, CONNECTICUT,38
